id,player_full_name,match_id,team
250,Miguel Caeiro,65,Away
251,José Pedro Bento,65,Away
252,Diogo Leão,66,Home
253,Tiago Allen Valente,66,Home
254,Miguel Caeiro,66,Away
255,José Pedro Bento,66,Away
256,Luís Ferreira,67,Home
257,Afonso Martinho,67,Home
258,Diogo Leão,67,Away
259,Pedro Pacheco,67,Away
260,Luís Ferreira,68,Home
261,Afonso Martinho,68,Home
262,José Pedro Bento,68,Away
263,João Magalhães,68,Away
264,Miguel Caeiro,69,Home
265,Tiago Allen Valente,69,Home
266,Luís Ferreira,69,Away
267,Afonso Martinho,69,Away
268,João Magalhães,70,Home
269,José Pedro Bento,70,Home
270,Miguel Caeiro,70,Away
271,Tiago Allen Valente,70,Away
272,Miguel Caeiro,71,Home
273,Tiago Allen Valente,71,Home
274,Diogo Leão,71,Away
275,Pedro Pacheco,71,Away
276,João Magalhães,72,Home
277,José Pedro Bento,72,Home
278,Diogo Leão,72,Away
279,Pedro Pacheco,72,Away
280,Diogo Leão,73,Away
281,João Magalhães,73,Away
282,José Pedro Bento,73,Home
283,Luís Ferreira,73,Home
284,José Pedro Bento,74,Home
285,Luís Ferreira,74,Home
286,Afonso Martinho,74,Away
287,Tiago Allen Valente,74,Away
288,Miguel Caeiro,75,Home
289,Luís Ferreira,75,Away
290,José Pedro Bento,75,Away
291,Pedro Pacheco,75,Home
292,Afonso Martinho,76,Home
293,Tiago Allen Valente,76,Home
294,Miguel Caeiro,76,Away
295,Pedro Pacheco,76,Away
296,Miguel Caeiro,77,Home
297,Pedro Pacheco,77,Home
298,Diogo Leão,77,Away
299,João Magalhães,77,Away
300,Afonso Martinho,78,Home
301,Tiago Allen Valente,78,Home
302,Diogo Leão,78,Away
303,João Magalhães,78,Away
304,Luís Ferreira,79,Home
305,Tiago Allen Valente,79,Home
306,Diogo Leão,79,Away
307,José Pedro Bento,79,Away
308,Pedro Pacheco,80,Away
309,Luís Ferreira,80,Home
310,Tiago Allen Valente,80,Home
311,Afonso Martinho,80,Away
312,Miguel Caeiro,81,Home
313,João Magalhães,81,Home
314,Luís Ferreira,81,Away
315,Tiago Allen Valente,81,Away
316,Afonso Martinho,82,Home
317,Pedro Pacheco,82,Home
318,Miguel Caeiro,82,Away
319,João Magalhães,82,Away
320,Miguel Caeiro,83,Home
321,João Magalhães,83,Home
322,Diogo Leão,83,Away
323,José Pedro Bento,83,Away
324,Afonso Martinho,84,Home
325,Pedro Pacheco,84,Home
326,Diogo Leão,84,Away
327,José Pedro Bento,84,Away
